Date, Close/Last, Volume, Open, High, Low
3/27/2020,$173.19 ,2211500,$170.45 ,$177.43 ,$168.51 
3/26/2020,$173.11 ,3706701,$167.96 ,$175 ,$167.02 
3/25/2020,$165.66 ,4572660,$166 ,$170.48 ,$161.11 
3/24/2020,$168.32 ,2929520,$171.42 ,$175.69 ,$165.22 
3/23/2020,$170.14 ,3436981,$176.84 ,$177.44 ,$168.54 
3/20/2020,$177.40 ,5571393,$190.61 ,$191.05 ,$175.21 
3/19/2020,$191.78 ,4546105,$193.57 ,$199.54 ,$187.03 
3/18/2020,$190.95 ,7072075,$197.12 ,$214.26 ,$185.47 
3/17/2020,$197.88 ,7478735,$178.91 ,$205 ,$176.43 
3/16/2020,$174.69 ,5350230,$170.20 ,$178.25 ,$164.50 
3/13/2020,$167.77 ,2964639,$164 ,$168.33 ,$156.68 
3/12/2020,$158.70 ,3280284,$160.10 ,$169.80 ,$158 
3/11/2020,$169.40 ,2377042,$173.05 ,$174.98 ,$166.32 
3/10/2020,$175 ,2766555,$176.62 ,$178.88 ,$167.32 
3/9/2020,$174.90 ,3489624,$167.95 ,$177.77 ,$167 
3/6/2020,$173.26 ,2222295,$171.94 ,$174.70 ,$168.57 
3/5/2020,$175.85 ,2778252,$170.27 ,$177.32 ,$169.73 
3/4/2020,$172.52 ,3144088,$170.90 ,$174.74 ,$168.47 
3/3/2020,$167.87 ,3374747,$173.08 ,$174.98 ,$166.09 
3/2/2020,$172.01 ,3753358,$163.10 ,$172.10 ,$162.81 
2/28/2020,$159.42 ,4701108,$172.33 ,$172.54 ,$155.83 
2/27/2020,$168.70 ,4309236,$170 ,$174.17 ,$168.34 
2/26/2020,$168.03 ,2854620,$167.91 ,$168.93 ,$166.52 
2/25/2020,$167.85 ,2351899,$167.66 ,$169.73 ,$166.66 
2/24/2020,$167.19 ,2094302,$165.89 ,$168.26 ,$165.71 
2/21/2020,$164.64 ,794584,$163.69 ,$165.27 ,$163.69 
2/20/2020,$164.17 ,673068,$164.73 ,$164.97 ,$163.59 
2/19/2020,$164.84 ,612202,$165 ,$165.72 ,$164.10 
2/18/2020,$164.82 ,629011,$165.26 ,$165.36 ,$163.86 
2/14/2020,$164.83 ,724885,$164.99 ,$165.10 ,$164.19 
